"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"HEBAM2","9","HELOC","5","NA","Outstanding balance on 2nd home equity loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Prior to 2011: For the National Survey, the variable is topcoded using VALUE's topcode. For the Metro Survey, the variable is topcoded using VALUE's topcode or its own 97th percentile topcode, whichever is lower. 2011 and after: Topcoded at the 97th percentile. However, the following variables must not sum to more than the topcode for the variable VALUE: AMMORT, AMMRT2, AMMRT3, AMMRT4, HEBAM1, HEBAM2, HEBAM3, HECR1, HECR2, HECR3. If the sum of these variables does exceed the topcode for VALUE, the variables are changed to ensure the sum is less than or equal to the topcode for VALUE. HEBAM3 is uncommon; possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $999,997.","What is your current (outstanding) balance on the home equity loan?",14,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable"
"HEBAM3","9","HELOC","5","NA","Outstanding balance on 3rd home equity loan",,"Coming Soon","MORTG","PUF","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Prior to 2011: For the National Survey, the variable is topcoded using VALUE's topcode. For the Metro Survey, the variable is topcoded using VALUE's topcode or its own 97th percentile topcode, whichever is lower. 2011 and after: Topcoded at the 97th percentile. However, the following variables must not sum to more than the topcode for the variable VALUE: AMMORT, AMMRT2, AMMRT3, AMMRT4, HEBAM1, HEBAM2, HEBAM3, HECR1, HECR2, HECR3. If the sum of these variables does exceed the topcode for VALUE, the variables are changed to ensure the sum is less than or equal to the topcode for VALUE. HEBAM3 is uncommon; possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $999,997.","What is your current (outstanding) balance on the home equity loan?",15,"Numeric","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable"
"HEINF1","9","HELOC","5","NA","Interest rate on 1st home equity loan - fraction",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"For 1999 National and 1998 Metro surveys the valid values are: 0 = no fraction 1 = 1/4 percent 2 = 1/2 percent 3 = 3/4 percent","What is the current interest rate on home equity loan? (Round down to nearest 1/8 percent)",16,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","0: no fraction||1: 1/8 percent||2: 1/4 percent||3: 3/8 percent||4: 1/2 percent||5: 5/8 percent||6: 3/4 percent||7: 7/8 percent||B or -6: Not applicable||Blank or -9: Not reported"
"HEINF2","9","HELOC","5","NA","Interest rate on 2nd home equity loan - fraction",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"For 1999 National and 1998 Metro surveys the valid values are: 0 = no fraction 1 = 1/4 percent 2 = 1/2 percent 3 = 3/4 percent","What is the current interest rate on home equity loan? (Round down to nearest 1/8 percent)",17,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","0: no fraction||1: 1/8 percent||2: 1/4 percent||3: 3/8 percent||4: 1/2 percent||5: 5/8 percent||6: 3/4 percent||7: 7/8 percent||B or -6: Not applicable||Blank or -9: Not reported"
"HEINF3","9","HELOC","5","NA","Interest rate on 3rd home equity loan - fraction",,"Coming Soon","MORTG","PUF","2013;1999;1998;1997","Mortgage Details",,,"For 1999 National and 1998 Metro surveys the valid values are: 0 = no fraction 1 = 1/4 percent 2 = 1/2 percent 3 = 3/4 percent HEINF3 is uncommon; possible that there are no cases in the data.","What is the current interest rate on home equity loan? (Round down to nearest 1/8 percent)",18,"Character","2013;1999;1998;1997","0: no fraction||1: 1/8 percent||2: 1/4 percent||3: 3/8 percent||4: 1/2 percent||5: 5/8 percent||6: 3/4 percent||7: 7/8 percent||B or -6: Not applicable||Blank or -9: Not reported"
"HEINR1","9","HELOC","5","NA","Interest rate on 1st home equity loan",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,19,"Numeric","2013;2011",". or -9: Not reported||1:20.875: 1-20.875%||B or -6: Not applicable"
"HEINR2","9","HELOC","5","NA","Interest rate on 2nd home equity loan",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,20,"Numeric","2013;2011",". or -9: Not reported||1:20.875: 1-20.875%||B or -6: Not applicable"
"HEINR3","9","HELOC","5","NA","Interest rate on 3rd home equity loan",,"Coming Soon","MORTG","PUF","2013","Mortgage Details",,,"HEINR3 is uncommon; possible that there are no cases in the data.",,21,"Numeric","2013",". or -9: Not reported||1:20.875: 1-20.875%||B or -6: Not applicable"
"HEINW1","9","HELOC","5","NA","Interest rate on 1st home equity loan - whole number",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Rates were 1-25% before 2011.","What is the current interest rate on home equity loan (whole number)",22,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:12: 1-12% (whole number part)||B or -6: Not applicable"
"HEINW2","9","HELOC","5","NA","Interest rate on 2nd home equity loan - whole number",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Rates were 1-25% before 2011.","What is the current interest rate on home equity loan (whole number)",23,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:12: 1-12% (whole number part)||B or -6: Not applicable"
"HEINW3","9","HELOC","5","NA","Interest rate on 3rd home equity loan - whole number",,"Coming Soon","MORTG","PUF","2013;1999;1998;1997","Mortgage Details",,,"Rates were 1-25% before 2011. HEINW3 is uncommon; possible that there are no cases in the data.","What is the current interest rate on home equity loan (whole number)",24,"Numeric","2013;1999;1998;1997",". or -9: Not reported||1:12: 1-12% (whole number part)||B or -6: Not applicable"
"HEL","9","HELOC","5","NA","Has a home equity loan",,"Coming Soon","HOUSHLD","PUF","1999;1998;1997","Mortgage Details",,,"In 1997, in MORTG module.","Do you (also) have a Home Equity loan or Home Equity line of credit?",25,,"1999;1998;1997","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HELC","9","HELOC","5","NA","Has a home equity line of credit",,"Coming Soon","NEWHOUSE","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"Response codes D and R dropped in 2011.",,26,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported"
"HELCN","9","HELOC","5","NA","Number of home equity lines of credit",,"Coming Soon","NEWHOUSE","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"Response codes D and R dropped in 2011.",,27,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001","1:100: 1-100 lines of credit||B or -6: Not applicable"
"HELMP1","9","HELOC","5","NA","1st home equity loan lump sum",,"Coming Soon","MORTG","PUF","1999;1998;1997","Mortgage Details",,,,"How much was the lump sum of 1st home equity loan?",28,,"1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HELMP2","9","HELOC","5","NA","2nd home equity loan lump sum",,"Coming Soon","MORTG","PUF","1999;1998;1997","Mortgage Details",,,,"How much was the lump sum of 2nd home equity loan?",29,,"1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HELMP3","9","HELOC","5","NA","3rd home equity loan lump sum",,"Coming Soon","MORTG","PUF","1999;1998;1997","Mortgage Details",,,,"How much was the lump sum of 3rd home equity loan?",30,,"1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HELUMN","9","HELOC","5","JELUMN","Number of lump sum home equity loans",,"Coming Soon","NEWHOUSE","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,,,31,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001","1:100: 1-100 Loans||B or -6: Not applicable"
"HELUMP","9","HELOC","5","JELUMP","Has a lump sum home equity loan",,"Coming Soon","NEWHOUSE","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,,,32,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||B or -6: Not applicable"
"HEMNMOR","9","HELOC","5","NA","Month current 1st home equity loan obtained",,"Coming Soon","MORTG","PUF","2011","Mortgage Details",,,,,33,"Numeric","2011",". or -9: Not reported||1:12: 1-12||B or -6: Not applicable"
"HEMNMOR2","9","HELOC","5","NA","Month current 2nd home equity loan obtained",,"Coming Soon","MORTG","PUF","2011","Mortgage Details",,,,,34,"Numeric","2011",". or -9: Not reported||1:12: 1-12||B or -6: Not applicable"
"HENUM","9","HELOC","5","NA","Number of home equity loans",,"Coming Soon","HOUSHLD","PUF","1999;1998;1997","Mortgage Details",,,"In 1997, in MORTG module.","How many home equity loans do you have?",35,,"1999;1998;1997",". or -9: Not reported||1:100: 1-100 Loans||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HEPMT1","9","HELOC","5","NA","1st home equity loan monthly payment",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Topcoded at the 97th percentile. Prior to 2009, the maximum recorded value was $9,997.","What was your last monthly payment?",36,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:99997: $1-99997||99998: $99998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HEPMT2","9","HELOC","5","NA","2nd home equity loan monthly payment",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Topcoded at the 97th percentile. Prior to 2009, the maximum recorded value was $9,997.","What was your last monthly payment?",37,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:99997: $1-99997||99998: $99998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HEPMT3","9","HELOC","5","NA","3rd home equity loan monthly payment",,"Coming Soon","MORTG","PUF","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Topcoded at the 97th percentile. HEPMT3 is uncommon; possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $9,997.","What was your last monthly payment?",38,"Numeric","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:99997: $1-99997||99998: $99998 or more||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HETYP1","9","HELOC","5","NA","1st home equity loan type",,"Coming Soon","MORTG","PUF","1999;1998;1997","Mortgage Details",,,,"Some people have a home equity loan that allows them to borrow against it as often as they wish up to a fixed limit. Other loans are a one-time, lump sum payment, which must be repaid over a period of time. What kind of home equity loan is t",39,,"1999;1998;1997","1: Line of credit||2: Lump sum||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HETYP2","9","HELOC","5","NA","2nd home equity loan type",,"Coming Soon","MORTG","PUF","1999;1998;1997","Mortgage Details",,,,"Some people have a home equity loan that allows them to borrow against it as often as they wish up to a fixed limit. Other loans are a one-time, lump sum payment, which must be repaid over a period of time. What kind of home equity loan is t",40,,"1999;1998;1997","1: Line of credit||2: Lump sum||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HETYP3","9","HELOC","5","NA","3rd home equity loan type",,"Coming Soon","MORTG","PUF","1999;1998;1997","Mortgage Details",,,,"Some people have a home equity loan that allows them to borrow against it as often as they wish up to a fixed limit. Other loans are a one-time, lump sum payment, which must be repaid over a period of time. What kind of home equity loan is t",41,,"1999;1998;1997","1: Line of credit||2: Lump sum||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HEYRMOR","9","HELOC","5","NA","Year current 1st home equity loan obtained",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"What year did you get the mortgage?",42,"Numeric","2013;2011",". or -9: Not reported||1900:2013: 1900-2013||B or -6: Not applicable"
"HEYRMOR2","9","HELOC","5","NA","Year current 2nd home equity loan obtained",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"What year did you get the mortgage?",43,"Numeric","2013;2011",". or -9: Not reported||1900:2013: 1900-2013||B or -6: Not applicable"
"HEYRMOR3","9","HELOC","5","NA","Year current 3rd home equity loan obtained",,"Coming Soon","MORTG","PUF","2013","Mortgage Details",,,"HEYRMOR3 is uncommon; possible that there are no cases in the data.","What year did you get the mortgage?",44,"Numeric","2013",". or -9: Not reported||1900:2013: 1900-2013||B or -6: Not applicable"
"RAM","9","HELOC","5","NA","Has reserve annuity or home equity conversion mortgage",,"Coming Soon","NEWHOUSE","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,,,45,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"RAMAP","9","HELOC","5","NA","Applied for reverse annuity mortgage",,"Coming Soon","HOUSHLD(1998); MORTG(1997)","PUF","1998;1997","Mortgage Details",,,,"Have you applied for this kind of mortgage that would give you payments?",46,,"1998;1997","1: Yes||2: No"
"RAMORT","9","HELOC","5","NA","Heard of reverse annuity mortgage",,"Coming Soon","HOUSHLD(1998); MORTG(1997)","PUF","1998;1997","Mortgage Details",,,,"Some people take out a special mortgage called a Reverse Annuity",47,,"1998;1997","1: Yes||2: No"
